STATE,        Median age (years),Percent under 19,Percent 19 - 45,Percent 45-65,over 65,            White,        Two or more races,            Black or African American,            American Indian and Alaska Native,            Asian,        Hispanic or Latino (of any race),            Native Hawaiian and Other Pacific Islander,            Some other race,18-24 no highschool,18-24 high school,18-24 bachelor plus,25+ no highschool,25+ high school plus,25+ bachelor plus
Alabama,38.358,25,31.9,26.2,16.9,67.5,2.4,26.6,0.5,1.4,4.4,0,1.5,12.27655676,33.97323503,7.961987253,13.12638195,86.87361805,26.22734529
Alaska,35.5205,27.3,36.1,24.9,11.9,63.4,9.3,3.2,14.6,6.4,7.2,1.4,1.7,12.51656101,42.30500748,6.124367832,6.862542301,93.1374577,29.9868028
Arizona,38.235,25.6,32.9,24,17.7,73.8,7,4.5,4.3,3.3,31.5,0.2,6.9,14.6730722,34.2500977,9.108130449,12.13190685,87.86809315,30.30707858
Arkansas,38.011,26.2,32.1,25,17,75.4,4,15.2,0.6,1.5,7.6,0.3,2.9,12.42176403,34.7139229,8.712484813,12.84635979,87.15364021,23.81653725
California,36.866,25.4,35.4,24.8,14.3,56.1,7.9,5.7,0.8,14.8,39.1,0.4,14.3,10.28658472,31.27441606,11.46457035,16.07543601,83.92456399,34.71525729
Colorado,37.0305,24.7,36.2,24.9,14.2,81.5,5.9,4.1,0.9,3.2,21.7,0.2,4.1,12.35649092,32.14698529,13.16332185,7.916033669,92.08396633,41.60357203
Connecticut,39.1345,23.5,31.1,28.1,17.2,74.2,4.8,10.7,0.3,4.6,16.4,0,5.4,9.830518279,29.38107358,16.88078436,9.061125942,90.93887406,40.01277516
Delaware,39.5395,23.7,30.9,26.6,18.8,67.4,3.9,22,0.4,4,9.4,0.1,2.3,13.1037535,34.42740604,9.734216885,9.390471708,90.60952829,32.6596261
District of Columbia,36.233,21,45.9,20.8,12.2,41.1,4.2,45.4,0.3,4.1,11.1,0,4.8,7.387070598,27.28698945,24.53340546,8.129908005,91.87009199,59.75764264
Florida,40.5765,22.1,31.1,26.3,20.5,71.6,6,15.9,0.3,2.8,25.8,0.1,3.3,14.38596712,31.69857952,10.27161887,11.48318954,88.51681046,30.54635476
Georgia,36.5845,26.7,33.9,25.7,13.8,57.2,3.7,31.6,0.3,4.1,9.6,0.1,2.9,15.01340113,33.17064759,10.00019708,12.12980915,87.87019085,32.19732935
Hawaii,39.118,23.4,33.5,24.9,18.3,24.1,24.3,1.9,0.2,37.6,10.7,10.4,1.4,7.050838523,40.81825969,8.976639979,7.514378933,92.48562107,33.56897623
Idaho,36.7875,28.1,32.4,23.8,15.8,88.4,4.3,0.7,1.3,1.4,12.7,0.2,3.8,12.97369621,36.29314277,7.791394253,8.747502934,91.25249707,28.66798097
Illinois,37.7035,24.9,33.4,25.9,15.6,69.8,4.2,14.1,0.3,5.6,17.2,0,6,11.79875148,30.02867897,14.42108428,10.34153361,89.65846639,35.51721597
Indiana,37.4235,26.3,32.5,25.5,15.7,82.3,3.3,9.4,0.2,2.4,7.1,0,2.3,14.41837199,33.95831439,10.64468698,10.66739361,89.33260639,27.15506316
Iowa,37.9185,25.9,31.9,25,17,89.1,3,3.7,0.3,2.5,6.2,0.1,1.3,10.04010611,28.11469715,11.73782606,7.52547433,92.47452567,29.31852129
Kansas,37.0885,27.1,32.7,24.4,15.8,83,4.8,5.7,0.8,3,12.1,0.1,2.7,11.45908633,29.70402875,11.31417207,8.649260718,91.35073928,33.92345148
Kentucky,38.148,25.2,32.2,26.3,16.4,86.2,2.8,8.1,0.2,1.5,3.8,0.1,1.1,12.00880331,36.2295816,9.451412674,12.84044013,87.15955987,25.02337295
Louisiana,37.397,26,33.6,25.1,15.5,61.2,2.7,32.2,0.6,1.7,5.2,0,1.6,15.61011094,34.93662537,8.433188239,14.14789522,85.85210478,24.86198527
Maine,41.4415,21.1,29.1,29.2,20.7,93.7,2.8,1.4,0.7,1.1,1.7,0,0.4,10.50775544,33.47538452,12.3975324,6.771784993,93.22821501,32.48980797
Maryland,37.9995,24.7,32.9,27,15.5,54.2,4.5,29.9,0.3,6.4,10.3,0,4.7,11.37458659,30.90968882,14.63582381,9.437130856,90.56286914,40.89559435
Massachusetts,38.743,22.8,33.6,26.9,16.5,76.6,4.8,7.5,0.2,6.8,12,0,4.2,9.902659472,27.62964603,19.05284159,8.925533883,91.07446612,44.52740632
Michigan,38.748,24.4,31.5,26.9,17.2,77.6,3.8,13.6,0.5,3.2,5.2,0,1.3,12.39924046,31.2242428,11.39764416,8.700632683,91.29936732,29.9858295
Minnesota,37.665,25.8,32.7,25.8,15.8,81.6,3.9,6.4,1,4.9,5.5,0,2.1,11.80553884,28.46317741,14.59341471,6.636031935,93.36396806,36.78100734
Mississippi,37.338,26.6,32.3,25.1,15.9,58,1.7,37.7,0.5,1,3.2,0,1.1,14.02357445,30.12569382,6.943348588,14.67567137,85.32432863,22.75206847
Missouri,38.23,25.2,32.3,25.8,16.8,81.3,3.5,11.4,0.4,2,4.3,0.1,1.3,11.68634287,32.48025777,10.99877629,9.410212431,90.58978757,29.94125635
Montana,39.299,24,31.7,25.7,18.7,87.8,3.8,0.6,6.2,0.8,3.9,0.1,0.8,11.4327224,34.84577559,10.17291828,6.019970382,93.98002962,33.14277625
Nebraska,36.8905,27.5,32.9,24.1,15.6,85.3,3.9,4.8,0.9,2.5,11.2,0.1,2.5,9.980283641,29.62475487,12.53389575,8.430379345,91.56962066,32.49718151
Nevada,37.6885,24.9,33.9,25.4,15.7,62.1,7.5,9.3,1.2,8.3,28.9,0.7,10.8,14.46406478,40.86154538,6.315375098,13.0860819,86.9139181,25.45572208
New Hampshire,40.238,21.8,30.6,29.6,18.1,92,2.9,1.6,0.2,2.7,3.9,0,0.6,9.2393412,32.65822985,14.1391837,6.739864204,93.2601358,37.55140749
New Jersey,38.501,24.4,31.9,27.5,16.3,65.5,4.8,13.4,0.3,9.7,20.4,0,6.4,10.23576195,28.9507439,17.76949469,9.737594661,90.26240534,40.7336347
New Mexico,38.1095,25.7,32.4,24.5,17.4,70,8.1,2.1,9.3,1.6,49.2,0.1,8.8,15.55008599,33.89839057,6.813470588,13.50076097,86.49923903,28.14163519
New York,38.582,23.4,33.7,26.4,16.5,62.3,4.7,15.4,0.4,8.6,19.1,0,8.6,10.72162938,27.12289989,17.64609512,12.77653997,87.22346003,37.45866503
North Carolina,38.07,24.8,32.7,26.2,16.2,67.6,3.6,21.4,1.2,3,9.5,0.1,3.2,12.3738432,31.98172207,10.65517514,11.48713648,88.51286352,32.04118266
North Dakota,36.717,26.2,35.4,23,15.2,85.7,3.1,3.2,5.2,1.6,4,0.1,1.2,7.844177275,28.26261198,14.12541254,6.895733883,93.10426612,30.68247827
Ohio,38.5,24.8,31.7,26.5,17,80.5,3.6,12.4,0.2,2.3,3.9,0,1.1,12.72871865,34.71449967,10.58311709,9.217381583,90.78261842,28.89019117
Oklahoma,37.0365,26.9,33.3,24.1,15.7,71.1,8.7,7.3,7.7,2.2,10.9,0.2,2.8,14.86446083,35.08780672,7.796649287,11.44979477,88.55020523,26.14799669
Oregon,38.934,23.2,34,25.3,17.6,82.6,6.2,1.9,1.1,4.5,13.2,0.4,3.4,13.00570739,31.45071891,10.38003512,8.855689463,91.14431054,34.40076337
Pennsylvania,39.357,23.4,31.2,27,18.2,79.4,3.4,11.1,0.2,3.5,7.6,0,2.4,11.990773,34.44986389,13.40191551,9.009646053,90.99035395,32.33056337
Rhode Island,39.287,22.8,32.8,27.3,17.3,79,4.9,6.5,0.4,3.5,15.9,0.1,5.6,8.668817127,31.96406689,12.96312982,10.82563362,89.17436638,35.02218865
South Carolina,38.7785,24.5,31.8,26,17.7,66.5,3,26.4,0.3,1.6,5.8,0.1,2,12.62954883,33.36182663,9.745346449,11.68168772,88.31831228,28.98987823
South Dakota,37.403,27.2,31.7,24.3,16.7,83.6,3.4,2.1,8.5,1.4,4.1,0.1,0.8,14.01163837,30.50092987,11.74995501,7.78465611,92.21534389,29.29646838
Tennessee,38.2245,24.7,32.9,26.1,16.4,76.7,2.9,16.7,0.3,1.8,5.6,0.1,1.5,11.42383379,35.19448165,10.64372668,11.77959189,88.22040811,28.15086174
Texas,35.2535,28.5,35.3,23.6,12.6,69.2,7,12.1,0.5,4.9,39.4,0.1,6.2,14.01946215,33.71687762,9.712354263,15.6355409,84.3644591,30.6895595
Utah,33.079,32.4,36.8,19.8,11.1,85.1,4.2,1.2,1.1,2.3,14.2,0.9,5.1,10.95276437,32.36532863,7.032978789,7.049075394,92.95092461,34.68449086
Vermont,40.5405,21.9,30.5,28.3,19.4,93.6,2.7,1.3,0.3,1.6,2,0,0.4,8.722736757,33.25627824,12.23224606,6.504798807,93.49520119,39.65898269
Virginia,37.758,24.8,33.6,26.2,15.4,66.3,4.8,19,0.3,6.7,9.5,0.1,2.8,9.88338452,32.20266267,13.83968091,9.66402484,90.33597516,39.51492031
Washington,37.65,24.4,35.1,25.1,15.4,73.5,7.1,3.9,1.2,8.8,12.9,0.7,4.8,13.3672115,32.53092647,12.25317608,8.296576907,91.70342309,36.67926914
West Virginia,40.3455,22.7,30.2,27.2,19.9,92.5,2.4,3.6,0.2,0.8,1.6,0,0.5,11.4753063,37.67778199,8.924466338,12.38685567,87.61314433,21.29695475
Wisconsin,38.631,24.6,31.7,26.8,17,84.3,3.4,6.3,0.8,2.8,7,0,2.3,10.71483064,32.0460424,12.10474883,7.41331623,92.58668377,30.80137254
Wyoming,37.8125,25.7,32.8,25,16.5,90.3,3.9,0.9,2.3,0.8,10.1,0.1,1.7,12.45882112,34.48603175,8.066407341,6.415422879,93.58457712,28.18066336
Puerto Rico,40.7115,21.5,31.7,26.3,20.5,60,9.7,11.3,0.2,0.2,98.7,0,18.7,,,,,,
